,House Style,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Garage Type,Garage Finish,Garage Cars,Paved Drive
97,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,CBlock,TA,TA,No,Rec,LwQ,0.0,0.0,1,0,2,1,Gd,6,1,Detchd,Unf,2.0,Y
98,1Story,Hip,CompShg,MetalSd,MetalSd,PConc,Ex,TA,No,GLQ,Unf,1.0,0.0,2,0,2,1,Ex,6,1,Attchd,Fin,2.0,Y
99,2Story,Hip,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,ALQ,Unf,0.0,0.0,2,1,4,1,Gd,9,1,Attchd,RFn,3.0,Y
100,1Story,Hip,CompShg,VinylSd,VinylSd,PConc,Ex,TA,Gd,GLQ,Unf,1.0,0.0,2,0,2,1,Ex,7,1,Attchd,Fin,3.0,Y
102,1Story,Gable,CompShg,VinylSd,VinylSd,CBlock,Gd,Ex,Mn,GLQ,Rec,1.0,0.0,3,0,3,1,Ex,6,1,Attchd,RFn,2.0,Y
104,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,Ex,TA,No,ALQ,Unf,1.0,0.0,2,1,3,1,Gd,7,1,BuiltIn,Fin,2.0,Y
105,1Story,Gable,CompShg,Plywood,Plywood,CBlock,Gd,TA,No,GLQ,Unf,1.0,0.0,2,0,2,1,TA,6,0,Attchd,Fin,2.0,Y
106,2Story,Gable,CompShg,MetalSd,MetalSd,PConc,Gd,TA,No,GLQ,Unf,1.0,0.0,2,1,3,1,Gd,6,0,Detchd,Unf,2.0,Y
107,1.5Fin,Gable,CompShg,Stucco,Stucco,BrkTil,TA,TA,No,Rec,LwQ,0.0,0.0,2,0,5,1,Gd,10,1,Detchd,Unf,1.0,Y
108,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,CBlock,Gd,TA,Gd,ALQ,Unf,1.0,0.0,1,1,1,1,Ex,4,2,Attchd,Unf,2.0,Y
109,2Story,Gable,CompShg,VinylSd,Wd Shng,PConc,Gd,TA,No,Unf,Unf,0.0,0.0,2,1,2,1,Gd,6,0,BuiltIn,RFn,2.0,Y
110,2Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkTil,TA,TA,No,ALQ,Unf,0.0,0.0,1,1,3,1,TA,7,1,Detchd,Unf,2.0,Y
111,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,CBlock,TA,TA,No,Unf,Unf,0.0,0.0,1,0,3,1,TA,6,1,Attchd,RFn,1.0,Y
112,1.5Fin,Gable,CompShg,MetalSd,MetalSd,PConc,TA,TA,No,Unf,Unf,0.0,0.0,2,0,3,1,TA,8,1,Detchd,Unf,2.0,P
113,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,CBlock,TA,TA,No,Unf,Unf,0.0,0.0,1,1,3,1,TA,5,0,Attchd,Unf,2.0,Y
115,1Story,Gable,CompShg,HdBoard,HdBoard,PConc,TA,TA,No,ALQ,Unf,0.0,0.0,2,0,3,1,TA,7,1,Attchd,Fin,2.0,Y
116,1Story,Gable,CompShg,HdBoard,Plywood,CBlock,TA,TA,No,BLQ,Unf,0.0,0.0,1,1,3,1,Fa,6,2,Attchd,Fin,2.0,Y
117,1Story,Hip,CompShg,MetalSd,MetalSd,PConc,Gd,TA,Av,GLQ,Unf,1.0,0.0,2,0,2,1,Ex,5,1,Attchd,Fin,2.0,Y
118,1Story,Flat,Tar&Grv,Plywood,Plywood,CBlock,TA,TA,Mn,Rec,Unf,1.0,0.0,2,0,3,1,TA,7,2,Basment,Unf,2.0,Y
119,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,GLQ,Unf,1.0,0.0,2,1,3,1,Gd,7,0,Attchd,RFn,2.0,Y
121,1Story,Gable,CompShg,BrkFace,BrkFace,CBlock,TA,TA,No,Rec,BLQ,0.0,1.0,1,0,3,1,TA,6,0,Attchd,RFn,1.0,Y
122,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,CBlock,TA,TA,No,Rec,Unf,1.0,0.0,1,0,3,1,TA,5,0,Detchd,Unf,2.0,Y
123,1Story,Gable,CompShg,WdShing,Wd Shng,CBlock,TA,TA,No,Unf,Unf,0.0,0.0,1,0,2,1,TA,5,1,Detchd,Unf,2.0,Y
124,1.5Fin,Gable,CompShg,AsbShng,AsbShng,CBlock,TA,TA,No,LwQ,Unf,0.0,0.0,1,1,2,1,TA,5,0,Detchd,Unf,1.0,Y
125,2Story,Mansard,CompShg,Wd Sdng,Wd Sdng,CBlock,Gd,TA,No,GLQ,Unf,0.0,0.0,2,2,3,1,Gd,9,1,Attchd,RFn,3.0,Y
126,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,Ex,Gd,Av,Unf,Unf,0.0,0.0,2,1,3,1,Gd,6,1,Attchd,Fin,2.0,Y
127,2Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkTil,TA,TA,No,Unf,Unf,0.0,0.0,1,1,3,1,Gd,8,2,2Types,Unf,3.0,Y
128,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,TA,TA,No,GLQ,Unf,1.0,0.0,2,1,3,1,TA,6,1,Attchd,Fin,2.0,Y
129,SLvl,Hip,CompShg,HdBoard,Plywood,CBlock,Gd,TA,Mn,Rec,Unf,0.0,0.0,1,1,3,1,TA,7,1,Attchd,Unf,1.0,Y
130,1Story,Gable,CompShg,Plywood,Brk Cmn,CBlock,Gd,TA,No,ALQ,Unf,0.0,0.0,2,0,2,1,TA,4,0,Attchd,Unf,2.0,Y
131,2Story,Gable,CompShg,VinylSd,VinylSd,BrkTil,TA,TA,No,Unf,Unf,0.0,1.0,2,0,4,1,Gd,7,0,Detchd,Unf,2.0,Y
132,2Story,Gable,CompShg,Plywood,Brk Cmn,CBlock,Gd,TA,No,ALQ,Unf,0.0,0.0,2,1,3,1,TA,6,1,Attchd,Unf,2.0,Y
133,1Story,Gable,CompShg,BrkFace,BrkFace,PConc,Gd,TA,Gd,GLQ,Unf,2.0,0.0,1,1,1,1,Gd,6,2,Attchd,Fin,2.0,Y
135,2Story,Gable,CompShg,HdBoard,HdBoard,CBlock,TA,TA,No,LwQ,Unf,0.0,1.0,1,1,2,1,TA,5,0,Detchd,Unf,1.0,Y
137,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,Gd,Mn,GLQ,Unf,0.0,0.0,2,0,2,1,Gd,6,1,Attchd,RFn,2.0,Y
138,2Story,Hip,CompShg,CemntBd,CmentBd,PConc,Ex,TA,Gd,Unf,Unf,0.0,0.0,3,1,5,1,Ex,10,1,BuiltIn,Fin,3.0,Y
140,1Story,Gable,CompShg,VinylSd,VinylSd,CBlock,TA,TA,No,LwQ,Unf,0.0,0.0,1,0,2,1,TA,4,0,Detchd,Unf,2.0,Y
141,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,ALQ,Unf,0.0,0.0,2,1,3,1,TA,9,1,Attchd,Fin,2.0,Y
142,1Story,Gable,CompShg,HdBoard,HdBoard,CBlock,TA,TA,No,ALQ,Unf,1.0,0.0,1,1,3,1,TA,6,0,Detchd,Unf,1.0,Y
143,1Story,Gable,CompShg,WdShing,Wd Shng,CBlock,TA,TA,Av,BLQ,Unf,1.0,0.0,1,0,3,1,TA,5,0,Attchd,Fin,1.0,Y
144,1Story,Gable,CompShg,CemntBd,CmentBd,PConc,Ex,Po,No,GLQ,Unf,1.0,0.0,1,1,1,1,Gd,6,1,Attchd,RFn,3.0,Y
145,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,BrkTil,TA,Fa,No,LwQ,Unf,0.0,0.0,1,0,3,1,TA,6,1,Detchd,Unf,1.0,Y
147,1Story,Gable,CompShg,MetalSd,MetalSd,CBlock,Gd,TA,No,GLQ,LwQ,0.0,0.0,2,0,3,1,Gd,7,1,Attchd,Fin,2.0,Y
148,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,GLQ,Unf,1.0,0.0,2,1,3,1,Gd,7,1,Attchd,Fin,2.0,Y
149,1.5Fin,Gable,CompShg,MetalSd,MetalSd,CBlock,TA,TA,No,Unf,Unf,0.0,0.0,1,1,4,1,TA,9,1,Detchd,Unf,2.0,Y
150,1Story,Hip,CompShg,HdBoard,HdBoard,PConc,TA,TA,No,BLQ,Unf,0.0,1.0,1,0,3,1,TA,5,1,Attchd,RFn,2.0,Y
151,2Story,Hip,CompShg,CemntBd,CmentBd,PConc,Ex,TA,Av,GLQ,Unf,0.0,0.0,3,1,4,1,Ex,11,1,BuiltIn,Fin,3.0,Y
152,1Story,Hip,CompShg,BrkFace,BrkFace,CBlock,TA,TA,No,ALQ,Rec,1.0,0.0,1,1,3,1,TA,6,2,Attchd,RFn,2.0,Y
153,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,Gd,Av,GLQ,Unf,1.0,0.0,2,1,4,1,Gd,8,1,Attchd,RFn,2.0,Y
154,1Story,Gable,CompShg,MetalSd,MetalSd,CBlock,TA,TA,No,BLQ,LwQ,0.0,1.0,1,0,2,1,TA,5,0,Attchd,Fin,1.0,Y
155,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,Av,GLQ,Unf,1.0,0.0,2,0,3,1,Gd,6,0,Attchd,Fin,2.0,Y
156,1Story,Gable,CompShg,HdBoard,HdBoard,CBlock,Gd,TA,No,Unf,Unf,0.0,0.0,2,0,2,1,TA,5,0,Attchd,RFn,2.0,Y
157,2Story,Gable,CompShg,HdBoard,HdBoard,CBlock,TA,TA,Gd,GLQ,LwQ,1.0,0.0,1,1,4,1,TA,7,0,Attchd,RFn,2.0,Y
158,1Story,Gable,CompShg,HdBoard,HdBoard,CBlock,TA,TA,Av,ALQ,Unf,1.0,0.0,1,0,3,1,TA,6,0,Detchd,Unf,2.0,Y
159,1Story,Gable,CompShg,HdBoard,HdBoard,CBlock,TA,TA,No,BLQ,Unf,0.0,1.0,1,0,2,1,Gd,6,1,Attchd,Unf,1.0,Y
160,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkTil,TA,TA,No,Unf,Unf,0.0,0.0,2,0,3,1,Gd,7,0,Attchd,Unf,2.0,N
161,2Story,Gable,CompShg,HdBoard,HdBoard,PConc,Gd,TA,No,GLQ,LwQ,1.0,0.0,2,1,3,1,Gd,7,1,Attchd,RFn,2.0,Y
163,2Story,Gable,CompShg,VinylSd,Wd Shng,PConc,Gd,TA,No,GLQ,Unf,1.0,0.0,2,1,2,1,Gd,6,0,BuiltIn,RFn,2.0,Y
164,1Story,Gable,CompShg,WdShing,Wd Shng,CBlock,TA,TA,No,GLQ,Unf,1.0,0.0,1,0,2,1,TA,5,0,Detchd,Unf,1.0,Y
165,2Story,Gable,CompShg,CemntBd,CmentBd,CBlock,Gd,TA,No,Rec,BLQ,0.0,0.0,1,1,3,1,TA,4,0,Attchd,Unf,1.0,Y
