,Sale Type,SalePrice,Price Per Sq Ft
263,WD ,99000,10.399159663865547
265,WD ,179200,22.36645032451323
266,WD ,142500,15.833333333333334
267,WD ,115400,8.070494440170641
268,WD ,226000,32.05673758865248
269,WD ,144152,45.330817610062894
270,WD ,370000,22.49103397969728
271,WD ,149900,11.631877085434935
272,New,172785,11.091603543458724
273,WD ,129000,17.916666666666668
274,WD ,181000,10.62019597488705
275,WD ,148000,14.8
277,WD ,192500,60.49654305468259
278,COD,151000,77.43589743589743
279,WD ,112500,14.61038961038961
280,WD ,144000,16.492956133318064
281,New,370967,45.064018464528665
282,WD ,149900,65.74561403508773
283,WD ,195000,21.824286513710128
284,WD ,163900,17.96164383561644
285,WD ,182000,16.433408577878104
286,WD ,410000,30.510492632832268
287,COD,152000,13.730803974706413
288,WD ,184000,23.58974358974359
289,WD ,206300,29.22096317280453
290,WD ,146500,12.377492396079756
291,WD ,108000,12.884753042233358
292,WD ,170000,16.679748822605966
293,WD ,145000,32.760957975598735
294,WD ,123000,53.94736842105263
295,WD ,173000,59.923796328368546
296,WD ,105900,12.429577464788732
297,WD ,91000,57.01754385964912
298,WD ,158000,10.128205128205128
299,WD ,190000,20.401589176420057
300,WD ,217500,19.65835140997831
301,WD ,165500,18.38888888888889
302,WD ,174500,14.541666666666666
303,WD ,100000,13.000520020800833
304,WD ,172000,12.05579308894652
305,Con,120000,12.4031007751938
306,WD ,82000,9.761904761904763
307,WD ,127000,16.933333333333334
308,WD ,129500,13.489583333333334
309,COD,187500,32.24974200206398
310,WD ,300000,20.188425302826378
311,WD ,190000,12.83523610079038
312,WD ,96000,12.71523178807947
313,WD ,241000,29.661538461538463
314,WD ,143900,10.52439113581511
315,WD ,87550,57.1102413568167
316,WD ,319900,41.773308957952466
317,New,356383,28.993084933289946
318,WD ,239000,20.04529061477816
319,WD ,287500,28.721278721278722
320,WD ,128500,10.398122673571775
321,WD ,185088,21.57957327736971
322,WD ,229800,26.59722222222222
323,WD ,124500,11.917296831626304
324,WD ,142000,14.791666666666666
325,WD ,149000,30.414370279648907
326,WD ,135000,14.600908500973395
327,WD ,128000,25.974025974025974
328,WD ,430000,33.87960920264734
329,WD ,145000,19.395398608881756
330,WD ,139000,25.923162998881015
331,WD ,178000,14.722911497105045
332,WD ,460000,36.685541111731396
333,WD ,214500,18.043405114401075
335,WD ,214000,24.44317532838378
336,WD ,128900,31.59313725490196
337,WD ,168000,5.175122447093615
338,New,310013,25.375542277154786
339,WD ,170000,45.995670995671
340,WD ,133700,17.685185185185187
341,WD ,165000,15.577794561933535
342,WD ,89500,53.273809523809526
343,ConLD,140000,13.484877672895395
344,WD ,134000,53.13243457573355
345,WD ,248500,26.520811099252935
346,WD ,145000,14.151864142104236
347,WD ,179900,15.677559912854031
348,New,147000,14.720608852393351
349,WD ,136000,12.983293556085918
350,WD ,128000,21.333333333333332
351,WD ,88750,20.735981308411215
352,WD ,122500,11.243689765947682
353,WD ,97500,5.57047363309147
354,WD ,135000,13.884603517432891
355,New,314813,26.92089960663588
357,WD ,134900,22.483333333333334
358,WD ,137000,13.02405171594258
359,WD ,350000,33.5345405767941
360,WD ,145000,19.297311684854936
361,WD ,418000,30.613739563497877
362,WD ,64000,11.136244997389943
363,WD ,159434,35.42977777777778
364,New,260261,22.000084530853762
365,WD ,166000,19.483568075117372
366,WD ,130000,19.23076923076923
367,WD ,112000,18.09077693425941
368,WD ,155000,17.816091954022987
369,New,269500,22.452720153295008
370,WD ,172000,13.543307086614174
371,CWD,219500,16.723809523809525
372,WD ,133500,15.454966427413753
373,WD ,170000,17.05628574295174
374,WD ,150000,15.625
375,WD ,130000,10.176921872553624
376,WD ,143000,17.51806933725346
377,COD,140000,14.141414141414142
378,WD ,244000,17.874148414035602
379,WD ,101000,14.027777777777779
380,WD ,125000,12.820512820512821
381,WD ,183000,16.36266094420601
383,WD ,112500,17.6056338028169
384,WD ,207500,20.263671875
385,WD ,225000,24.151996565049377
386,WD ,119900,16.65277777777778
387,New,293000,23.961400065423618
388,WD ,180000,17.41654571843251
389,WD ,169900,13.78163530175211
391,WD ,152000,15.715467328370554
392,New,300000,21.46690518783542
393,WD ,107000,13.68461440081852
394,WD ,122500,10.802469135802468
395,WD ,89000,52.976190476190474
396,WD ,95000,15.830694884185968
397,CWD,143450,12.260683760683762
398,New,376162,29.255094104837454
399,WD ,167500,18.010752688172044
400,WD ,153337,21.849102308349956
401,WD ,103600,15.62829989440338
402,WD ,128200,12.03755868544601
403,WD ,177500,83.84506376948512
404,WD ,320000,23.44322344322344
405,WD ,190000,22.530534803747184
407,WD ,93000,15.5
408,WD ,40000,4.705882352941177
410,WD ,50138,5.755050505050505
411,WD ,148000,18.693949728432486
412,WD ,120500,17.463768115942027
413,WD ,139500,14.090909090909092
414,WD ,320000,24.08550353755833
415,WD ,219000,16.992551210428307
416,WD ,131000,14.743950478334272
417,New,171925,19.411200180648073
418,WD ,177900,12.583999434109076
419,CWD,141500,21.05654761904762
420,WD ,191000,25.466666666666665
421,New,158000,12.086903304773562
422,New,248900,23.35773273273273
423,WD ,175000,24.305555555555557
424,WD ,185900,21.125
425,WD ,163000,15.092592592592593
427,WD ,157500,12.10235131396957
428,WD ,245000,15.412682435832913
429,WD ,180000,33.364226135310474
430,WD ,148800,29.147894221351617
431,WD ,237000,25.01847355642352
432,WD ,60000,7.142857142857143
433,WD ,165000,13.634110064452157
434,WD ,240000,22.008253094910593
435,WD ,160000,16.74340728338217
436,WD ,128000,19.906687402799378
438,WD ,256000,17.420891459680163
439,WD ,143000,15.88888888888889
440,New,231713,27.690368068833653
441,WD ,155000,3.7259615384615383
442,WD ,128500,19.79969183359014
443,WD ,168000,23.045267489711936
444,WD ,184000,24.62526766595289
446,WD ,185000,15.789024494324487
447,WD ,230500,20.59138824370198
448,WD ,227000,20.177777777777777
449,WD ,173500,20.097301054094753
450,WD ,140000,16.666666666666668
451,WD ,247000,24.608946896483012
452,WD ,149900,18.704766658347893
453,WD ,158000,12.89795918367347
454,WD ,147110,61.21930919683729
455,WD ,119500,13.895348837209303
456,WD ,205000,14.985380116959064
458,WD ,236500,43.885693078493226
459,WD ,137000,12.580348943985308
460,WD ,122000,12.489762489762489
461,New,176485,19.624708106304904
462,WD ,109000,9.338588074023304
463,WD ,330000,33.80108573184472
464,WD ,143000,14.538430256201709
465,WD ,410000,38.83679075494932
466,WD ,201000,23.75324982273694
467,COD,80000,7.395082270290257
468,WD ,259500,35.74872571979611
469,WD ,279900,23.720338983050848
470,WD ,154000,20.533333333333335
471,WD ,277000,1.7421383647798743
472,WD ,128000,19.728729963008632
473,WD ,256300,18.011243851018975
474,WD ,188000,24.07170294494238
475,WD ,312500,21.805875375061056
476,WD ,151000,47.45443117536141
477,WD ,122500,63.802083333333336
478,WD ,188000,18.595450049455984
479,New,209700,19.091405680990533
480,WD ,441929,31.382545093026557
481,WD ,163000,19.221698113207548
482,WD ,187500,15.362556329373207
483,WD ,220000,13.968253968253968
484,WD ,127000,15.77639751552795
487,WD ,73000,13.952599388379205
488,WD ,374000,31.57183859530643
489,WD ,421250,24.92603550295858
490,WD ,178000,18.47239518472395
491,WD ,137500,13.733519776268478
492,WD ,301500,21.07949381248689
493,WD ,105000,18.398458033993343
494,WD ,157500,16.826923076923077
495,WD ,117000,20.598591549295776
496,WD ,105000,15.0
497,WD ,115000,10.973282442748092
498,WD ,360000,31.09345310070824
500,WD ,173000,18.948521358159912
501,WD ,78500,7.268518518518518
502,WD ,183500,22.25861232411451
503,WD ,93000,15.5
504,WD ,226500,62.55178127589064
505,WD ,178000,22.712772744672705
506,WD ,226000,21.190811064228786
507,WD ,173000,16.543941857129195
508,WD ,62383,7.5332689288733246
509,New,446261,29.854227990366603
510,WD ,160000,22.857142857142858
511,WD ,219990,55.83502538071066
512,WD ,191000,20.358132594329568
513,WD ,136500,19.915377881529036
515,WD ,229000,16.549830165498303
516,WD ,236000,23.74723284363051
517,New,392000,31.029842476054778
518,WD ,149000,21.669575334496802
519,WD ,345000,87.31966590736522
520,WD ,169000,17.146915584415584
521,WD ,109900,6.171383647798742
522,WD ,188000,19.528409681105224
523,WD ,132500,22.083333333333332
524,WD ,143000,14.656144306651635
525,WD ,125000,13.469827586206897
526,WD ,415000,28.078484438430312
527,WD ,125500,16.214470284237727
528,WD ,139000,14.479166666666666
529,ConLI,451950,33.532423208191126
531,WD ,220000,32.102728731942214
532,WD ,167300,15.683884878597544
533,WD ,122000,14.856307842182172
534,ConLI,125000,13.736263736263735
535,WD ,112500,18.75
536,WD ,191000,20.502361528553028
537,WD ,136000,14.370245139475909
538,WD ,197900,19.028846153846153
539,WD ,117000,22.033898305084747
540,New,194000,26.194977045638673
541,WD ,285000,62.8029969149405
543,WD ,268000,20.08092312303312
544,WD ,137000,14.213092644465194
545,WD ,215000,13.972834210697341
546,WD ,129500,12.885572139303482
547,WD ,115000,18.42948717948718
548,WD ,114000,15.18784972022382
549,WD ,107000,12.02247191011236
550,COD,118500,13.974056603773585
551,WD ,120000,20.0
552,WD ,260000,29.388493274556346
553,WD ,136000,16.8944099378882
554,WD ,123000,14.829997588618278
556,WD ,199500,10.787282361847085
557,WD ,109900,15.344875733035465
558,WD ,234000,21.432496794284667
559,WD ,155900,35.152198421646
560,WD ,161500,14.355555555555556
561,COD,137500,9.565217391304348
563,WD ,211000,21.038986937880146
564,COD,181000,44.58128078817734
565,WD ,174900,19.390243902439025
566,WD ,164500,13.967903540799863
567,WD ,214000,21.040212368498672
568,WD ,185000,17.78846153846154
569,WD ,123000,19.71153846153846
570,WD ,183500,15.102880658436215
571,WD ,174000,65.78449905482042
572,COD,130000,5.728891239203244
573,WD ,178000,18.541666666666668
574,WD ,189900,13.731019522776572
575,WD ,144000,32.468996617812856
576,WD ,120500,20.458404074702887
577,WD ,145000,13.352979095681002
578,WD ,251000,47.091932457786115
582,WD ,212500,20.61705636945765
583,WD ,164000,36.44444444444444
584,WD ,139000,15.342163355408388
585,WD ,160000,74.07407407407408
586,WD ,149000,19.42886947450776
587,WD ,130000,13.187259078920674
588,WD ,140000,13.592233009708737
589,New,264500,32.55384615384615
590,WD ,141000,9.494949494949495
591,New,199900,46.77117454375293
592,WD ,167900,17.39896373056995
593,WD ,181900,12.471717517997943
594,WD ,262500,29.166666666666668
595,WD ,230000,16.698126905764482
596,CWD,328900,64.2508302402813
597,WD ,232698,25.145666738707586
598,WD ,221800,21.48392096086788
599,WD ,152400,18.197014925373136
600,WD ,213000,21.846153846153847
601,WD ,184900,24.2269392033543
602,WD ,157000,9.968253968253968
603,WD ,144000,15.584415584415584
604,WD ,192350,18.495192307692307
605,CWD,163500,18.579545454545453
606,WD ,262280,22.153898133288283
607,WD ,214000,23.4263820470717
608,WD ,230000,16.294721927027986
609,New,280000,19.782393669634025
610,WD ,140000,21.325209444021326
611,WD ,155000,20.12987012987013
613,WD ,218000,17.636113583043443
614,WD ,160000,16.46090534979424
615,New,208900,24.17824074074074
617,WD ,146000,45.911949685534594
618,WD ,245500,16.407137606095034
619,WD ,113000,22.6
620,WD ,296000,17.545939537640784
621,WD ,377426,26.660026841845024
622,WD ,337500,27.095375722543352
623,WD ,552000,37.20679428417363
624,WD ,97900,14.074180563542265
625,New,208300,26.494530653777666
626,WD ,213000,19.27601809954751
627,WD ,188000,21.066786194531602
628,WD ,162000,16.857440166493237
629,WD ,152000,11.086797957695113
630,WD ,254900,20.307520713830467
631,WD ,189000,12.976313079299691
632,WD ,235000,12.662320168112506
633,ConLD,125000,11.488970588235293
634,WD ,120000,52.63157894736842
637,New,370878,40.369870469141176
638,WD ,145000,23.125996810207337
639,WD ,311500,19.891443167305237
640,New,210250,68.10819565921607
641,WD ,200000,14.869888475836431
643,WD ,114000,13.994598575988215
644,WD ,87500,9.114583333333334
645,WD ,349265,28.331035042180403
646,WD ,203000,20.01774972882359
647,WD ,189000,22.159690467815686
648,WD ,209000,25.716746646979207
649,WD ,160000,19.047619047619047
650,WD ,129000,11.998883824760487
651,WD ,170000,16.983016983016984
652,WD ,90350,21.10981308411215
654,WD ,149900,15.295918367346939
655,WD ,123000,16.26984126984127
656,WD ,87000,9.0625
657,WD ,171000,17.307692307692307
658,WD ,119000,12.395833333333334
659,WD ,132500,16.70659437649729
660,WD ,161000,31.568627450980394
661,WD ,274000,28.189300411522634
662,WD ,125000,14.669639713648634
664,WD ,262000,21.02559987159939
665,WD ,134900,19.41007194244604
666,WD ,170000,10.056196391600118
667,WD ,135000,18.867924528301888
668,WD ,290000,31.504617055947854
669,New,173500,22.541249837599064
670,WD ,225000,28.846153846153847
671,CWD,140500,9.786167026537578
672,WD ,126000,14.35897435897436
673,WD ,170000,64.27221172022685
674,WD ,156000,11.497641509433961
675,WD ,207500,12.713681759696097
676,New,255000,29.51388888888889
677,WD ,94900,59.46115288220551
678,WD ,140000,19.138755980861244
679,WD ,96900,12.72655634357762
680,WD ,154000,14.0
681,WD ,184900,17.887201315662185
682,New,385000,26.008241572654192
683,WD ,106500,12.150598973188819
684,WD ,327000,25.70754716981132
685,WD ,468000,42.05607476635514
686,WD ,135000,26.162790697674417
687,WD ,142500,10.901162790697674
688,WD ,141000,15.997277059223961
690,WD ,108500,24.1971454058876
691,WD ,150000,16.63155560483424
693,ConLD,235128,19.70566543747905
694,WD ,302000,2.6226888639936083
695,WD ,163000,11.374738311235172
697,WD ,147000,63.69150779896014
698,WD ,155000,62.0
699,WD ,180000,22.363026462914647
701,WD ,187500,19.551616266944734
702,WD ,125000,17.36111111111111
703,WD ,250000,21.73913043478261
704,WD ,78000,11.545293072824157
706,New,318000,26.433915211970074
707,WD ,215000,22.50366338706301
709,COD,180000,15.843675732770002
710,WD ,184000,14.81958762886598
711,WD ,124500,12.96875
712,WD ,135000,16.329986694084916
713,WD ,164900,27.483333333333334
714,COD,140000,14.583333333333334
715,WD ,128000,17.41496598639456
716,WD ,153000,19.862391276126186
717,WD ,127500,29.33057280883368
718,WD ,141500,14.739583333333334
719,WD ,325000,26.517624020887727
720,WD ,188500,19.7444223316225
721,New,185000,25.694444444444443
723,WD ,119000,33.05555555555556
724,COD,112000,66.66666666666667
725,WD ,197000,59.408926417370324
726,New,412083,25.146945749679624
727,WD ,271000,20.429702223897475
728,WD ,200000,61.69031462060457
729,WD ,174000,19.352686019352685
730,WD ,156500,19.5625
731,WD ,204000,21.928410190261207
732,WD ,149350,17.480102996254683
733,WD ,137000,11.99124726477024
734,WD ,222500,19.51069800070151
735,New,166000,20.172560456920646
738,WD ,99900,31.684110371075167
739,WD ,249700,22.50360490266763
740,WD ,158500,11.321428571428571
742,WD ,202000,24.944430723635467
743,WD ,145000,17.276301679971404
744,WD ,108959,8.446434108527132
745,WD ,160000,2.797202797202797
746,WD ,128600,15.91978212428819
747,WD ,197900,15.980297157622738
748,WD ,172000,17.326483328296565
749,WD ,130000,7.975460122699387
750,WD ,195000,24.6367656348705
751,WD ,113000,5.195402298850575
752,WD ,209000,22.926722246599386
753,WD ,213500,14.806852070185172
754,WD ,126000,9.640397857689365
755,COD,127500,12.937595129375952
756,WD ,334000,41.143138704114314
757,WD ,157000,14.377289377289378
758,WD ,125500,19.015151515151516
759,WD ,189000,23.05159165751921
760,WD ,173000,17.392178546295366
761,WD ,260000,18.143754361479413
762,WD ,212000,19.68613613148853
763,WD ,148000,16.730725751752203
764,COD,136300,12.858490566037736
765,WD ,190000,10.058231868713605
766,WD ,139500,15.259243054036316
767,WD ,162000,20.903225806451612
768,WD ,100000,16.501650165016503
769,WD ,126500,12.436099095556429
770,WD ,301000,28.998073217726397
771,WD ,204750,21.92888508086109
773,WD ,130000,13.541666666666666
774,WD ,155000,17.939814814814813
775,WD ,155000,19.54356323288362
776,WD ,131500,11.311827956989248
777,WD ,153000,15.9375
778,WD ,306000,26.659696811291166
779,New,332200,42.91989664082687
780,New,293077,30.785399159663864
781,WD ,128000,7.442293156578871
782,WD ,152000,28.14814814814815
784,WD ,117500,11.868686868686869
785,WD ,127500,21.25
786,WD ,373000,20.98098773765328
788,WD ,203135,10.340290150165437
789,WD ,191000,21.82857142857143
792,WD ,245000,26.808184702921544
793,WD ,213250,21.030571992110453
795,WD ,185000,18.242776846464846
796,WD ,113500,51.47392290249433
797,WD ,68000,6.230529595015576
798,WD ,201000,21.857329273597216
799,WD ,226700,23.12557380393757
800,New,500067,29.12615760964529
801,WD ,201490,21.970341293206847
802,WD ,155000,15.897435897435898
803,WD ,145000,16.852626685262667
804,WD ,128000,20.796100731112915
805,WD ,187000,19.711183725097502
806,WD ,145500,39.59183673469388
807,WD ,75000,7.352941176470588
808,WD ,217000,18.46808510638298
809,WD ,220000,18.493611297915265
810,WD ,165150,15.879807692307692
811,WD ,147000,13.400182315405651
812,WD ,203000,17.083228141041825
813,WD ,165500,15.684230477634571
815,WD ,187000,19.15983606557377
816,WD ,180000,60.04002668445631
817,WD ,146500,21.477789180472072
818,WD ,270000,23.780165580412188
819,WD ,147000,16.20906384386371
820,WD ,132000,16.36904761904762
821,WD ,105000,19.444444444444443
823,WD ,538000,10.055322966507177
825,WD ,325000,24.671676914901692
826,WD ,124000,13.069139966273188
827,WD ,137000,10.128641135590714
828,WD ,142900,13.72718539865514
829,WD ,147000,12.25
830,COD,128000,16.347381864623244
831,ConLw,144000,16.271186440677965
832,WD ,205000,28.74369040942232
833,WD ,167000,16.805877025259132
834,WD ,66500,11.625874125874127
835,WD ,315000,25.02979737783075
836,New,155835,14.035395838962442
837,WD ,239500,29.88893048795707
838,WD ,300000,27.59381898454746
839,WD ,282000,24.944714727996462
840,WD ,120000,13.186813186813186
841,WD ,241500,6.175838788870704
842,New,336860,33.31948565776459
843,WD ,91000,9.298998569384835
844,New,207500,38.930581613508444
845,WD ,250000,65.59958016268696
846,New,167240,55.561461794019934
847,WD ,178000,51.819505094614264
848,COD,127000,11.75925925925926
849,WD ,218500,20.897092578423873
850,WD ,135750,16.01769911504425
851,WD ,214000,26.107112358179823
852,COD,257000,23.376387120247408
853,WD ,157000,26.166666666666668
854,WD ,102000,13.995609220636663
855,WD ,163500,12.238023952095809
856,WD ,204000,19.738751814223512
857,WD ,103500,8.795784821959717
859,WD ,118000,21.85185185185185
860,WD ,235000,25.824175824175825
861,WD ,132500,17.14544513457557
862,WD ,221300,25.21075415812258
863,WD ,190000,22.387180393543066
864,WD ,222000,22.356495468277945
865,WD ,335000,19.142857142857142
866,WD ,257500,25.230256711738193
867,New,264132,18.107355864811133
868,WD ,130000,16.666666666666668
869,WD ,137000,27.620967741935484
870,WD ,99500,13.460497835497835
871,WD ,160250,21.58539870689655
872,WD ,130000,51.54639175257732
873,WD ,75200,20.47930283224401
874,WD ,131250,17.032182714767714
875,WD ,148000,11.447134349137597
876,Oth,124100,13.321167883211679
877,WD ,178400,14.717043392179509
879,WD ,217000,17.56800518134715
880,New,252000,20.245842371655822
881,WD ,152000,20.266666666666666
882,WD ,132000,21.568627450980394
883,WD ,120000,12.531328320802006
884,New,338500,34.047475357071015
885,WD ,105000,13.294504937958976
886,WD ,175000,8.001097293343086
887,WD ,192000,19.1904047976012
888,WD ,195000,15.734688937303316
889,WD ,210000,23.333333333333332
890,WD ,211000,26.793650793650794
891,WD ,128000,21.333333333333332
892,WD ,180500,17.73955773955774
893,WD ,90000,6.617647058823529
894,WD ,138500,11.378573775879067
895,New,169985,16.604962391325582
896,WD ,146000,20.857142857142858
897,WD ,228000,20.30637691485572
898,WD ,159000,19.875
899,New,266000,24.794929157345265
900,WD ,139000,23.166666666666668
902,WD ,212999,24.314954337899543
903,WD ,326000,20.333063057444022
904,WD ,179000,19.83599290780142
905,WD ,294000,25.42592752745827
906,WD ,97000,57.73809523809524
907,New,239799,27.37431506849315
