,MS SubClass,MS Zoning,Lot Config,Neighborhood,Condition 1,Condition 2,Bldg Type,Land Contour,Land Slope,Street,Lot Shape
159,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
160,1 Storey 1945 older,Residential Low Density,Inside,Sawyer,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
161,2 Storey 1946 Newer,Residential Low Density,Inside,SawyerW,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
163,2 Storey PUD,Residential Low Density,Inside,NridgHt,Norm,Norm,Twnhs,Lvl,Gtl,Pave,Reg
164,1 Storey Newer All,Residential Low Density,Corner,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
165,2 Storey PUD,Residential Medium Density,Inside,MeadowV,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
166,1.5 Finished,Residential Medium Density,Inside,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
167,2 Storey PUD,Residential Low Density,Inside,NPkVill,Norm,Norm,Twnhs,Lvl,Gtl,Pave,Reg
168,Family Conversion,Residential Low Density,Inside,Edwards,Norm,Norm,2fmCon,Lvl,Gtl,Pave,Reg
169,Split Foyer,Residential Low Density,CulDSac,Sawyer,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
170,1 Storey Newer All,Residential Low Density,Corner,Edwards,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
171,1.5 Finished,Residential Low Density,Inside,BrkSide,Norm,Norm,1Fam,Bnk,Gtl,Pave,Reg
172,1 Storey Newer All,Floating Village Residential,Inside,Somerst,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
173,2 Storey 1946 Older,Residential Low Density,Inside,NAmes,Artery,Norm,1Fam,Lvl,Gtl,Pave,Reg
174,1 Storey Newer All,Residential Low Density,Inside,NWAmes,RRAn,Norm,1Fam,Lvl,Gtl,Pave,IR1
175,2 Storey 1946 Older,Residential Medium Density,Inside,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
176,2 Storey 1946 Newer,Residential Low Density,Inside,Gilbert,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
177,1 Storey Newer All,Residential Low Density,Inside,Sawyer,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
178,2 Storey 1946 Newer,Residential Low Density,Inside,NoRidge,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
179,2 Storey PUD,Residential Medium Density,Inside,BrDale,Norm,Norm,Twnhs,Lvl,Gtl,Pave,Reg
180,1 Storey Newer All,Residential Medium Density,Corner,Edwards,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
181,1 Storey Newer All,Residential Medium Density,Inside,OldTown,Artery,Norm,1Fam,Lvl,Gtl,Pave,Reg
182,1 Storey Newer All,Residential Low Density,Inside,NWAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
184,2 Storey 1946 Newer,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
185,1 Storey Newer All,Floating Village Residential,Inside,Somerst,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
186,1.5 Finished,Residential Low Density,Inside,NoRidge,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
187,1 Storey Newer All,Residential Low Density,CulDSac,Somerst,RRAn,Norm,1Fam,Lvl,Gtl,Pave,IR1
188,2 Storey 1946 Newer,Residential Low Density,Corner,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
189,2 Storey 1946 Newer,Residential Low Density,Inside,StoneBr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
190,2 Storey 1946 Newer,Residential Low Density,CulDSac,StoneBr,Norm,Norm,1Fam,HLS,Gtl,Pave,IR1
191,1 Storey Newer All,Residential Low Density,Inside,ClearCr,Norm,Norm,1Fam,Low,Sev,Pave,IR1
192,1 Storey Newer All,Residential Low Density,Inside,Mitchel,Norm,Norm,1Fam,Lvl,Mod,Pave,IR1
193,1 Storey Newer All,Residential Low Density,Inside,NWAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
194,Duplex All,Residential Low Density,Inside,NAmes,Artery,Norm,Duplex,Lvl,Gtl,Pave,Reg
195,1 Storey Newer All,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
196,1 Storey Newer All,Residential Low Density,Inside,SawyerW,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
197,1.5 Finished,Residential Low Density,Corner,Edwards,Artery,Norm,1Fam,Bnk,Gtl,Pave,Reg
198,2 Storey 1946 Newer,Residential Low Density,Inside,Gilbert,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
199,1 Storey Newer All,Residential Low Density,Inside,NridgHt,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
200,PUD Multi,Residential Medium Density,Inside,MeadowV,Norm,Norm,Twnhs,Lvl,Gtl,Pave,Reg
201,2 Storey 1946 Newer,Floating Village Residential,Inside,Somerst,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
202,2 Storey 1946 Newer,Residential Low Density,Inside,NoRidge,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
203,2.5 Story All,Residential Low Density,Inside,Crawfor,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
204,2 Storey 1946 Newer,Residential Low Density,Inside,Gilbert,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
205,1.5 Finished,Residential Medium Density,Inside,BrkSide,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
206,2 Storey 1946 Older,Residential Low Density,Inside,Crawfor,Feedr,Norm,1Fam,Lvl,Gtl,Pave,IR1
207,1 Storey Newer All,Residential Low Density,Inside,Mitchel,Norm,Norm,1Fam,Bnk,Gtl,Pave,Reg
208,1 Storey PUD,Residential Low Density,Inside,Blmngtn,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
209,Split Foyer,Residential Low Density,Inside,Mitchel,Norm,Norm,1Fam,Bnk,Gtl,Pave,Reg
210,1 Storey Newer All,Residential Low Density,CulDSac,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
211,1 Storey Newer All,Residential Low Density,Corner,SawyerW,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
212,1 Storey Newer All,Floating Village Residential,Inside,Somerst,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
213,1 Storey Newer All,Residential Low Density,Inside,Sawyer,Feedr,Norm,1Fam,Lvl,Gtl,Pave,Reg
214,1 Storey Newer All,Residential Low Density,CulDSac,Edwards,Norm,Norm,1Fam,Low,Gtl,Pave,IR1
215,1 Storey PUD,Residential Low Density,Inside,Blmngtn,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
216,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
217,1.5 Finished,Residential Low Density,Corner,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
218,1 Storey Newer All,Residential Low Density,Inside,NAmes,Feedr,Norm,1Fam,Lvl,Gtl,Pave,Reg
219,1 Storey 1945 older,Residential Low Density,Inside,Crawfor,Norm,Norm,1Fam,Bnk,Gtl,Pave,Reg
220,2 Storey 1946 Newer,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
221,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
222,2 Storey PUD,Residential Low Density,Inside,StoneBr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
223,1 Storey Newer All,Residential Low Density,Inside,ClearCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
224,Split,Residential Low Density,Inside,Gilbert,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
225,1 Storey Newer All,Residential Low Density,Inside,SawyerW,RRAe,Norm,1Fam,Lvl,Gtl,Pave,Reg
226,1 Storey PUD,Residential Medium Density,FR2,Mitchel,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
227,2 Storey 1946 Newer,Residential Low Density,Inside,StoneBr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
228,Family Conversion,Residential Low Density,Inside,Crawfor,Norm,Norm,2fmCon,Lvl,Gtl,Pave,IR1
229,Split,Residential Medium Density,Corner,IDOTRR,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
230,1 Storey PUD,Residential Low Density,Corner,NridgHt,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
231,Split,Residential Low Density,Inside,Timber,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
232,2 Storey 1946 Older,Residential Low Density,Corner,Crawfor,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
233,1 Storey Newer All,Residential Low Density,CulDSac,Timber,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
234,Split,Residential Low Density,Inside,Gilbert,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
236,1 Storey Newer All,Residential Low Density,Corner,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
237,2 Storey 1946 Newer,Residential Low Density,Corner,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
238,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
239,1.5 Finished,Residential Low Density,Inside,Crawfor,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
241,1 Storey Newer All,Residential Low Density,Corner,NAmes,Feedr,Norm,1Fam,Lvl,Gtl,Pave,Reg
242,1 Storey PUD,Residential Low Density,Corner,NridgHt,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,IR1
243,1 Storey Newer All,Floating Village Residential,Inside,Somerst,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
