,Heating,Heating QC,Central Air,Electrical,Utilities
204,GasA,Ex,Y,SBrkr,AllPub
205,GasA,Gd,Y,SBrkr,AllPub
206,GasW,TA,N,FuseA,AllPub
207,GasA,TA,Y,SBrkr,AllPub
208,GasA,Ex,Y,SBrkr,AllPub
209,GasA,TA,Y,SBrkr,AllPub
210,GasA,Ex,Y,SBrkr,AllPub
211,GasA,Ex,Y,SBrkr,AllPub
212,GasA,Ex,Y,SBrkr,AllPub
213,GasA,Ex,Y,SBrkr,AllPub
214,GasA,TA,Y,SBrkr,AllPub
215,GasA,Ex,Y,SBrkr,AllPub
216,GasA,Gd,Y,SBrkr,AllPub
217,GasA,Ex,Y,SBrkr,AllPub
218,GasA,Ex,Y,SBrkr,AllPub
219,GasA,Ex,Y,SBrkr,AllPub
220,GasA,Ex,Y,SBrkr,AllPub
221,GasA,TA,Y,SBrkr,AllPub
222,GasA,Ex,Y,SBrkr,AllPub
223,GasA,Gd,Y,SBrkr,AllPub
224,GasA,Ex,Y,SBrkr,AllPub
225,GasA,Ex,Y,SBrkr,AllPub
226,GasA,Ex,Y,SBrkr,AllPub
227,GasA,Ex,Y,SBrkr,AllPub
228,GasA,Ex,Y,SBrkr,AllPub
229,GasA,Fa,Y,SBrkr,AllPub
230,GasA,Ex,Y,SBrkr,AllPub
231,GasA,Ex,Y,SBrkr,AllPub
232,GasA,Gd,Y,SBrkr,AllPub
233,GasA,Gd,Y,SBrkr,AllPub
234,GasA,Ex,Y,SBrkr,AllPub
236,GasA,Gd,Y,SBrkr,AllPub
237,GasA,TA,Y,SBrkr,AllPub
238,GasA,Ex,Y,SBrkr,AllPub
239,GasA,Ex,Y,FuseA,AllPub
241,GasA,Ex,Y,SBrkr,AllPub
242,GasA,Ex,Y,SBrkr,AllPub
243,GasA,Ex,Y,SBrkr,AllPub
244,GasA,TA,Y,SBrkr,AllPub
245,GasA,TA,Y,SBrkr,AllPub
246,GasA,Gd,Y,SBrkr,AllPub
247,GasA,Ex,Y,SBrkr,AllPub
248,GasA,Ex,Y,SBrkr,AllPub
250,GasA,Ex,Y,SBrkr,AllPub
251,GasA,Gd,Y,SBrkr,AllPub
252,GasA,TA,Y,SBrkr,AllPub
253,GasA,Ex,Y,SBrkr,AllPub
254,GasA,Ex,Y,SBrkr,AllPub
255,GasA,Gd,Y,FuseA,AllPub
257,GasA,Ex,Y,SBrkr,AllPub
258,GasA,TA,Y,SBrkr,AllPub
259,GasA,TA,Y,SBrkr,AllPub
261,GasA,Gd,Y,SBrkr,AllPub
262,GasA,Ex,Y,SBrkr,AllPub
263,GasA,TA,Y,SBrkr,AllPub
265,GasA,Gd,Y,SBrkr,AllPub
266,GasA,Gd,Y,SBrkr,AllPub
267,GasA,TA,Y,SBrkr,AllPub
268,GasA,Ex,Y,SBrkr,AllPub
269,GasA,Ex,Y,SBrkr,AllPub
270,GasA,Ex,Y,SBrkr,AllPub
271,GasA,TA,Y,SBrkr,AllPub
272,GasA,Gd,Y,SBrkr,AllPub
273,GasA,Gd,Y,SBrkr,AllPub
274,GasA,TA,Y,SBrkr,AllPub
275,GasA,Ex,Y,SBrkr,AllPub
277,GasA,Ex,Y,SBrkr,AllPub
278,GasA,TA,Y,SBrkr,AllPub
279,GasA,TA,Y,SBrkr,AllPub
280,GasA,TA,Y,SBrkr,AllPub
281,GasA,Ex,Y,SBrkr,AllPub
282,GasA,TA,Y,SBrkr,AllPub
283,GasA,Ex,Y,SBrkr,AllPub
284,GasA,Gd,Y,SBrkr,AllPub
285,GasA,Ex,Y,SBrkr,AllPub
286,GasA,Ex,Y,SBrkr,AllPub
287,GasA,TA,Y,SBrkr,AllPub
288,GasA,Ex,Y,SBrkr,AllPub
289,GasA,Ex,Y,SBrkr,AllPub
290,GasA,TA,Y,SBrkr,AllPub
291,GasA,TA,Y,FuseA,AllPub
292,GasA,Gd,Y,SBrkr,AllPub
293,GasA,Ex,Y,SBrkr,AllPub
294,GasA,TA,Y,SBrkr,AllPub
295,GasA,Ex,Y,SBrkr,AllPub
296,GasA,Gd,Y,SBrkr,AllPub
297,GasA,TA,Y,SBrkr,AllPub
298,GasW,Fa,N,SBrkr,AllPub
299,GasA,Ex,Y,SBrkr,AllPub
300,GasA,Ex,Y,SBrkr,AllPub
301,GasA,Gd,Y,FuseA,AllPub
302,GasA,Ex,Y,SBrkr,AllPub
303,GasA,Gd,Y,FuseA,AllPub
304,GasA,TA,Y,SBrkr,AllPub
305,GasA,TA,Y,SBrkr,AllPub
306,GasA,Gd,Y,SBrkr,AllPub
307,GasA,Ex,Y,FuseA,AllPub
308,OthW,Fa,N,SBrkr,AllPub
309,GasA,Gd,Y,SBrkr,AllPub
310,GasA,Ex,Y,SBrkr,AllPub
311,GasA,Gd,Y,SBrkr,AllPub
312,GasW,Fa,N,SBrkr,AllPub
313,GasA,Ex,Y,SBrkr,AllPub
314,GasA,TA,Y,SBrkr,AllPub
315,GasA,TA,Y,SBrkr,AllPub
316,GasA,Ex,Y,SBrkr,AllPub
317,GasA,Ex,Y,SBrkr,AllPub
318,GasA,Ex,Y,SBrkr,AllPub
319,GasA,Ex,Y,SBrkr,AllPub
320,GasA,TA,Y,SBrkr,AllPub
321,GasA,Ex,Y,SBrkr,AllPub
322,GasA,Ex,Y,SBrkr,AllPub
323,GasA,TA,Y,SBrkr,AllPub
324,GasA,Gd,Y,SBrkr,AllPub
325,GasA,Ex,Y,SBrkr,AllPub
326,GasA,TA,Y,SBrkr,AllPub
327,GasA,TA,Y,SBrkr,AllPub
328,GasA,Ex,Y,SBrkr,AllPub
329,GasA,TA,Y,SBrkr,AllPub
330,GasA,Ex,Y,SBrkr,AllPub
331,GasA,Ex,Y,SBrkr,AllPub
332,GasA,Ex,Y,SBrkr,AllPub
333,GasA,Gd,N,FuseA,AllPub
335,GasA,Ex,Y,SBrkr,AllPub
336,GasA,Gd,Y,SBrkr,AllPub
337,GasA,Ex,Y,SBrkr,AllPub
338,GasA,Ex,Y,SBrkr,AllPub
339,GasA,Ex,Y,SBrkr,AllPub
340,GasA,TA,Y,FuseA,AllPub
341,GasA,TA,Y,SBrkr,AllPub
342,GasA,TA,Y,SBrkr,AllPub
343,GasA,TA,Y,SBrkr,AllPub
344,GasA,Ex,Y,SBrkr,AllPub
345,GasA,Ex,Y,SBrkr,AllPub
346,GasA,Ex,Y,SBrkr,AllPub
347,GasA,TA,Y,SBrkr,AllPub
348,GasA,Ex,Y,SBrkr,AllPub
349,GasA,Gd,Y,SBrkr,AllPub
350,GasA,Ex,Y,FuseA,AllPub
351,GasA,Ex,Y,FuseA,AllPub
352,GasA,TA,Y,SBrkr,AllPub
353,GasA,TA,Y,SBrkr,AllPub
354,GasA,TA,Y,SBrkr,AllPub
355,GasA,Ex,Y,SBrkr,AllPub
357,GasA,TA,Y,SBrkr,AllPub
358,GasA,Gd,Y,SBrkr,AllPub
359,GasA,Ex,Y,SBrkr,AllPub
360,GasA,TA,Y,SBrkr,AllPub
361,GasA,Ex,Y,SBrkr,AllPub
362,GasA,Gd,Y,SBrkr,AllPub
363,GasA,Ex,Y,SBrkr,AllPub
364,GasA,Ex,Y,SBrkr,AllPub
365,GasA,Fa,Y,SBrkr,AllPub
366,GasA,TA,Y,SBrkr,AllPub
367,GasA,TA,N,SBrkr,AllPub
368,GasA,Gd,Y,SBrkr,AllPub
369,GasA,Ex,Y,SBrkr,AllPub
370,GasA,TA,Y,SBrkr,AllPub
371,GasA,TA,Y,SBrkr,AllPub
372,GasA,Gd,Y,SBrkr,AllPub
373,GasA,Ex,Y,SBrkr,AllPub
374,GasW,TA,N,SBrkr,AllPub
375,GasW,TA,N,SBrkr,AllPub
376,GasA,TA,Y,SBrkr,AllPub
377,GasA,TA,Y,SBrkr,AllPub
378,GasA,Ex,Y,SBrkr,AllPub
379,GasA,TA,N,SBrkr,AllPub
380,GasA,Ex,Y,SBrkr,AllPub
381,GasA,Gd,Y,SBrkr,AllPub
383,GasA,TA,Y,FuseA,AllPub
384,GasA,TA,Y,SBrkr,AllPub
385,GasA,Ex,Y,SBrkr,AllPub
386,GasA,Ex,Y,SBrkr,AllPub
387,GasA,Ex,Y,SBrkr,AllPub
388,GasA,Gd,Y,SBrkr,AllPub
389,GasA,TA,Y,SBrkr,AllPub
391,GasA,TA,Y,SBrkr,AllPub
392,GasA,Ex,Y,SBrkr,AllPub
393,GasA,TA,Y,SBrkr,AllPub
394,GasA,Gd,Y,SBrkr,AllPub
395,GasA,TA,Y,SBrkr,AllPub
396,GasA,Ex,N,SBrkr,AllPub
397,GasA,Ex,Y,SBrkr,AllPub
398,GasA,Ex,Y,SBrkr,AllPub
399,GasA,TA,Y,SBrkr,AllPub
400,GasA,TA,Y,SBrkr,AllPub
401,GasA,TA,N,SBrkr,AllPub
402,GasA,TA,Y,SBrkr,AllPub
403,GasA,Ex,Y,SBrkr,AllPub
404,GasA,Ex,Y,SBrkr,AllPub
405,GasA,Ex,Y,SBrkr,AllPub
407,GasA,TA,Y,FuseA,AllPub
408,GasA,TA,N,SBrkr,AllPub
410,GasA,Gd,Y,SBrkr,AllPub
411,GasA,TA,Y,SBrkr,AllPub
412,GasA,Ex,Y,SBrkr,AllPub
413,GasA,TA,Y,SBrkr,AllPub
414,GasA,Ex,Y,SBrkr,AllPub
415,GasA,TA,Y,SBrkr,AllPub
416,GasA,TA,Y,SBrkr,AllPub
417,GasA,Ex,Y,SBrkr,AllPub
418,GasA,Gd,Y,SBrkr,AllPub
419,GasA,TA,N,SBrkr,AllPub
420,GasA,Gd,Y,SBrkr,AllPub
421,GasA,Ex,Y,SBrkr,AllPub
422,GasA,Ex,Y,SBrkr,AllPub
423,GasA,Ex,Y,SBrkr,AllPub
424,GasA,Ex,Y,SBrkr,AllPub
425,GasW,Fa,N,SBrkr,AllPub
427,GasA,TA,Y,SBrkr,AllPub
428,GasA,Ex,Y,SBrkr,AllPub
429,GasA,Gd,Y,SBrkr,AllPub
430,GasA,Ex,Y,SBrkr,AllPub
431,GasA,Ex,Y,SBrkr,AllPub
432,GasA,TA,N,FuseF,AllPub
433,GasA,Ex,Y,SBrkr,AllPub
434,GasA,Ex,Y,SBrkr,AllPub
435,GasA,Gd,Y,SBrkr,AllPub
436,GasA,TA,N,FuseF,AllPub
438,GasA,Gd,Y,SBrkr,AllPub
439,GasA,Ex,Y,SBrkr,AllPub
440,GasA,Ex,Y,SBrkr,AllPub
441,GasW,TA,Y,SBrkr,AllPub
442,GasA,Ex,Y,SBrkr,AllPub
443,GasA,Ex,Y,SBrkr,AllPub
444,GasA,Gd,Y,SBrkr,AllPub
446,GasA,TA,Y,SBrkr,AllPub
447,GasA,Ex,Y,SBrkr,AllPub
448,GasA,Ex,Y,SBrkr,AllPub
449,GasA,Ex,Y,SBrkr,AllPub
450,GasA,Gd,Y,SBrkr,AllPub
451,GasA,Ex,Y,SBrkr,AllPub
452,GasA,TA,Y,SBrkr,AllPub
453,GasA,Ex,Y,SBrkr,AllPub
454,GasA,Ex,Y,SBrkr,AllPub
455,GasA,TA,Y,SBrkr,AllPub
456,GasA,Ex,Y,SBrkr,AllPub
458,GasA,Ex,Y,SBrkr,AllPub
459,GasA,TA,Y,SBrkr,AllPub
460,GasA,Gd,Y,SBrkr,AllPub
461,GasA,Ex,Y,SBrkr,AllPub
462,GasA,TA,Y,FuseA,AllPub
463,GasA,Ex,Y,SBrkr,AllPub
464,GasA,Gd,N,SBrkr,AllPub
465,GasA,Ex,Y,SBrkr,AllPub
466,GasA,Ex,Y,SBrkr,AllPub
467,GasA,TA,Y,FuseA,AllPub
468,GasA,Ex,Y,SBrkr,AllPub
469,GasA,Ex,Y,SBrkr,AllPub
470,GasA,Ex,Y,SBrkr,AllPub
471,GasA,Gd,Y,SBrkr,AllPub
472,GasA,Ex,N,FuseA,AllPub
473,GasA,Ex,Y,SBrkr,AllPub
474,GasA,Ex,Y,SBrkr,AllPub
475,GasA,Ex,Y,SBrkr,AllPub
476,GasA,Ex,Y,SBrkr,AllPub
477,GasA,Ex,Y,SBrkr,AllPub
478,GasA,Ex,Y,SBrkr,AllPub
479,GasA,Ex,Y,SBrkr,AllPub
480,GasA,Ex,Y,SBrkr,AllPub
481,GasA,Ex,Y,SBrkr,AllPub
482,GasA,Gd,Y,SBrkr,AllPub
483,GasA,Ex,Y,SBrkr,AllPub
484,GasA,TA,Y,SBrkr,AllPub
487,GasA,Gd,N,FuseP,AllPub
488,GasA,Ex,Y,SBrkr,AllPub
489,GasA,Ex,Y,SBrkr,AllPub
490,GasA,Gd,Y,SBrkr,AllPub
491,GasA,TA,Y,SBrkr,AllPub
492,GasA,Ex,Y,SBrkr,AllPub
493,GasA,Gd,Y,FuseF,AllPub
494,GasA,TA,Y,SBrkr,AllPub
495,GasA,TA,N,FuseA,AllPub
496,GasA,Gd,Y,SBrkr,AllPub
497,GasA,Ex,Y,FuseA,AllPub
498,GasA,Ex,Y,SBrkr,AllPub
500,GasA,Gd,Y,SBrkr,AllPub
501,GasA,TA,Y,FuseA,AllPub
502,GasA,Ex,Y,SBrkr,AllPub
503,GasA,TA,N,SBrkr,AllPub
504,GasA,Ex,Y,SBrkr,AllPub
505,GasA,Gd,Y,SBrkr,AllPub
506,GasA,Ex,Y,SBrkr,AllPub
507,GasA,Ex,Y,SBrkr,AllPub
508,GasA,Gd,Y,SBrkr,AllPub
509,GasA,Ex,Y,SBrkr,AllPub
510,GasA,Ex,Y,SBrkr,AllPub
511,GasA,Ex,Y,SBrkr,AllPub
512,GasA,Ex,Y,SBrkr,AllPub
513,GasA,TA,N,FuseA,AllPub
515,GasA,Gd,Y,SBrkr,AllPub
516,GasA,Ex,Y,SBrkr,AllPub
517,GasA,Ex,Y,SBrkr,AllPub
518,GasA,Fa,Y,SBrkr,AllPub
519,GasA,Ex,Y,SBrkr,AllPub
520,GasA,Ex,Y,FuseA,AllPub
521,GasA,TA,N,SBrkr,AllPub
522,GasA,Ex,Y,SBrkr,AllPub
523,GasA,Ex,Y,FuseF,AllPub
524,GasA,Ex,Y,SBrkr,AllPub
525,GasA,Ex,Y,SBrkr,AllPub
526,GasA,Ex,Y,SBrkr,AllPub
527,GasA,Gd,Y,SBrkr,AllPub
528,GasA,Gd,Y,SBrkr,AllPub
529,GasA,Ex,Y,SBrkr,AllPub
531,GasA,Ex,Y,SBrkr,AllPub
532,GasA,TA,Y,SBrkr,AllPub
533,GasA,Ex,Y,SBrkr,AllPub
534,GasA,TA,Y,SBrkr,AllPub
535,GasA,Gd,Y,FuseA,AllPub
536,GasA,Ex,Y,SBrkr,AllPub
537,GasA,Gd,Y,SBrkr,AllPub
538,GasA,Ex,Y,SBrkr,AllPub
539,GasA,Gd,Y,SBrkr,AllPub
540,GasA,Ex,Y,SBrkr,AllPub
541,GasA,Ex,Y,SBrkr,AllPub
543,GasA,Ex,Y,SBrkr,AllPub
544,GasA,Ex,Y,SBrkr,AllPub
545,GasA,Ex,Y,SBrkr,AllPub
546,GasA,TA,Y,SBrkr,AllPub
547,GasA,Gd,Y,FuseA,AllPub
548,GasA,TA,Y,SBrkr,AllPub
549,GasA,TA,Y,SBrkr,AllPub
550,GasA,TA,Y,SBrkr,AllPub
551,GasA,TA,Y,SBrkr,AllPub
552,GasA,Ex,Y,SBrkr,AllPub
553,GasA,TA,Y,SBrkr,AllPub
554,GasA,TA,Y,SBrkr,AllPub
556,GasA,Ex,Y,SBrkr,AllPub
557,GasA,TA,Y,SBrkr,AllPub
558,GasA,Ex,Y,SBrkr,AllPub
559,GasA,Ex,Y,SBrkr,AllPub
560,GasA,Ex,Y,FuseA,AllPub
561,GasA,Gd,Y,FuseA,NoSeWa
563,GasA,TA,Y,SBrkr,AllPub
564,GasA,Ex,Y,SBrkr,AllPub
565,GasA,TA,Y,SBrkr,AllPub
566,GasA,Ex,Y,SBrkr,AllPub
567,GasA,Ex,Y,SBrkr,AllPub
568,GasA,TA,Y,SBrkr,AllPub
569,GasA,Ex,Y,SBrkr,AllPub
570,GasA,TA,Y,SBrkr,AllPub
571,GasA,Ex,Y,SBrkr,AllPub
572,GasA,TA,Y,SBrkr,AllPub
573,GasA,Ex,Y,SBrkr,AllPub
574,GasA,Gd,Y,SBrkr,AllPub
575,GasA,Ex,Y,SBrkr,AllPub
576,GasA,Ex,Y,SBrkr,AllPub
577,GasA,Ex,Y,SBrkr,AllPub
578,GasA,Ex,Y,SBrkr,AllPub
582,GasA,Ex,Y,SBrkr,AllPub
583,GasA,Ex,Y,SBrkr,AllPub
584,GasA,Gd,Y,SBrkr,AllPub
585,GasA,Ex,Y,SBrkr,AllPub
586,GasA,TA,Y,SBrkr,AllPub
587,GasA,TA,Y,SBrkr,AllPub
588,GasA,Gd,Y,SBrkr,AllPub
589,GasA,Ex,Y,SBrkr,AllPub
590,GasA,TA,Y,FuseA,AllPub
591,GasA,Ex,Y,SBrkr,AllPub
592,GasA,TA,Y,SBrkr,AllPub
593,GasA,Ex,Y,SBrkr,AllPub
594,GasA,Ex,Y,SBrkr,AllPub
595,GasA,Ex,Y,SBrkr,AllPub
596,GasA,Ex,Y,SBrkr,AllPub
597,GasA,Ex,Y,SBrkr,AllPub
598,GasA,Ex,Y,SBrkr,AllPub
599,GasA,Gd,Y,SBrkr,AllPub
600,GasA,Ex,Y,SBrkr,AllPub
601,GasA,Ex,Y,SBrkr,AllPub
602,GasA,TA,Y,SBrkr,AllPub
603,GasA,Gd,Y,SBrkr,AllPub
604,GasA,Ex,Y,SBrkr,AllPub
605,GasA,Ex,Y,SBrkr,AllPub
606,GasA,Ex,Y,SBrkr,AllPub
607,GasA,Ex,Y,SBrkr,AllPub
608,GasA,Ex,Y,SBrkr,AllPub
609,GasA,Ex,Y,SBrkr,AllPub
610,GasA,Gd,Y,FuseA,AllPub
611,GasA,TA,Y,SBrkr,AllPub
613,GasA,Ex,Y,SBrkr,AllPub
614,GasA,TA,Y,SBrkr,AllPub
615,GasA,Ex,Y,SBrkr,AllPub
617,GasA,Ex,Y,SBrkr,AllPub
618,GasA,Ex,Y,SBrkr,AllPub
619,GasA,Ex,Y,SBrkr,AllPub
620,GasA,Ex,Y,SBrkr,AllPub
621,GasA,Ex,Y,SBrkr,AllPub
622,GasA,Ex,Y,SBrkr,AllPub
623,GasA,Ex,Y,SBrkr,AllPub
624,GasA,Ex,Y,SBrkr,AllPub
625,GasA,Ex,Y,SBrkr,AllPub
626,GasA,Ex,Y,SBrkr,AllPub
627,GasA,Ex,Y,SBrkr,AllPub
628,GasA,Ex,Y,FuseA,AllPub
629,GasA,TA,Y,FuseA,AllPub
630,GasA,Ex,Y,SBrkr,AllPub
631,GasA,Ex,Y,SBrkr,AllPub
632,GasA,TA,Y,SBrkr,AllPub
633,GasW,TA,N,SBrkr,AllPub
634,GasA,Ex,Y,SBrkr,AllPub
637,GasA,Ex,Y,SBrkr,AllPub
638,GasA,TA,N,FuseA,AllPub
